H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,北九州,○,2,1,2,1,1,1,0,0,3,5
H,岐阜,○,3,0,5,1,4,2,0,0,6,1
H,栃木,●,0,1,5,2,3,2,0,1,6,5
A,草津,△,0,0,5,2,3,2,1,1,7,7
A,千葉,●,0,3,5,5,0,2,1,2,7,11
H,岡山,●,1,2,6,7,-1,2,1,3,7,15
A,東京Ｖ,●,0,2,6,9,-3,2,1,4,7,16
A,大分,△,0,0,6,9,-3,2,2,4,8,15
H,福岡,●,0,4,6,13,-7,2,2,5,8,17
H,甲府,●,0,2,6,15,-9,2,2,6,8,18
A,水戸,●,1,2,7,17,-10,2,2,7,8,20
H,松本,○,1,0,8,17,-9,3,2,7,11,16
H,熊本,△,1,1,9,18,-9,3,3,7,12,17
A,京都,●,1,2,10,20,-10,3,3,8,12,19
H,鳥取,○,3,0,13,20,-7,4,3,8,15,16
A,湘南,△,0,0,13,20,-7,4,4,8,16,16
H,町田,○,1,0,14,20,-6,5,4,8,19,16
H,横浜FC,●,1,2,15,22,-7,5,4,9,19,16
A,富山,○,1,0,16,22,-6,6,4,9,22,15
H,愛媛,○,3,0,19,22,-3,7,4,9,25,14
A,山形,●,0,1,19,23,-4,7,4,10,25,14
H,草津,△,0,0,19,23,-4,7,5,10,26,15
A,福岡,○,3,1,22,24,-2,8,5,10,29,15
A,岡山,△,0,0,22,24,-2,8,6,10,30,15
H,北九州,△,1,1,23,25,-2,8,7,10,31,14
A,熊本,○,3,0,26,25,1,9,7,10,34,12
H,大分,●,0,4,26,29,-3,9,7,11,34,12
A,愛媛,○,2,1,28,30,-2,10,7,11,37,12
A,町田,●,0,1,28,31,-3,10,7,12,37,13
H,湘南,△,0,0,28,31,-3,10,8,12,38,14
A,鳥取,○,3,0,31,31,0,11,8,12,41,12
H,山形,△,2,2,33,33,0,11,9,12,42,13
A,栃木,△,1,1,34,34,0,11,10,12,43,14
H,水戸,●,1,2,35,36,-1,11,10,13,43,14
A,横浜FC,●,0,1,35,37,-2,11,10,14,43,14
A,甲府,●,2,3,37,40,-3,11,10,15,43,15
A,松本,△,1,1,38,41,-3,11,11,15,44,15
H,富山,○,3,0,41,41,0,12,11,15,47,15
H,京都/36節,●,2,4,43,45,-2,12,11,16,47,15
H,東京Ｖ,○,2,1,45,46,-1,13,11,16,50,15
A,岐阜,△,0,0,45,46,-1,13,12,16,51,15
H,千葉,●,0,3,45,49,-4,13,12,17,51,15
