H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
A,北九州,○,2,1,2,1,1,3,5
H,岐阜,○,3,0,5,1,4,6,1
H,栃木,●,0,1,5,2,3,6,5
A,草津,△,0,0,5,2,3,7,7
A,千葉,●,0,3,5,5,0,7,11
H,岡山,●,1,2,6,7,-1,7,15
A,東京Ｖ,●,0,2,6,9,-3,7,16
A,大分,△,0,0,6,9,-3,8,15
H,福岡,●,0,4,6,13,-7,8,17
H,甲府,●,0,2,6,15,-9,8,18
A,水戸,●,1,2,7,17,-10,8,20
H,松本,○,1,0,8,17,-9,11,16
H,熊本,△,1,1,9,18,-9,12,17
A,京都,●,1,2,10,20,-10,12,19
H,鳥取,○,3,0,13,20,-7,15,16
A,湘南,△,0,0,13,20,-7,16,16
H,町田,○,1,0,14,20,-6,19,16
H,横浜FC,●,1,2,15,22,-7,19,16
A,富山,○,1,0,16,22,-6,22,15
H,愛媛,○,3,0,19,22,-3,25,14
A,山形,●,0,1,19,23,-4,25,14
H,草津,△,0,0,19,23,-4,26,15
A,福岡,○,3,1,22,24,-2,29,15
A,岡山,△,0,0,22,24,-2,30,15
H,北九州,△,1,1,23,25,-2,31,14
A,熊本,○,3,0,26,25,1,34,12
H,大分,●,0,4,26,29,-3,34,12
A,愛媛,○,2,1,28,30,-2,37,12
A,町田,●,0,1,28,31,-3,37,13
H,湘南,△,0,0,28,31,-3,38,14
A,鳥取,○,3,0,31,31,0,41,12
H,山形,△,2,2,33,33,0,42,13
A,栃木,△,1,1,34,34,0,43,14
H,水戸,●,1,2,35,36,-1,43,14
A,横浜FC,●,0,1,35,37,-2,43,14
A,甲府,●,2,3,37,40,-3,43,15
A,松本,△,1,1,38,41,-3,44,15
H,富山,○,3,0,41,41,0,47,15
H,京都/36節,●,2,4,43,45,-2,47,15
H,東京Ｖ,○,2,1,45,46,-1,50,15
A,岐阜,△,0,0,45,46,-1,51,15
H,千葉,●,0,3,45,49,-4,51,15
