H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,京都,○,2,1,2,1,1,3,5
A,草津,○,3,1,5,2,3,6,2
H,福岡,○,3,1,8,3,5,9,1
H,岐阜,○,2,1,10,4,6,12,1
A,熊本,△,3,3,13,7,6,13,1
A,鳥取,○,2,1,15,8,7,16,1
H,町田,○,2,0,17,8,9,19,1
H,横浜FC,○,3,2,20,10,10,22,1
A,東京Ｖ,○,2,1,22,11,11,25,1
H,水戸,●,1,2,23,13,10,25,1
A,愛媛,●,1,2,24,15,9,25,1
H,甲府,△,1,1,25,16,9,26,1
A,松本,△,1,1,26,17,9,27,2
H,大分,△,1,1,27,18,9,28,2
A,栃木,△,1,1,28,19,9,29,4
H,徳島,△,0,0,28,19,9,30,4
A,北九州,●,2,3,30,22,8,30,6
H,富山,○,1,0,31,22,9,33,5
A,山形,○,2,1,33,23,10,36,4
H,岡山,○,2,0,35,23,12,39,3
A,千葉,△,1,1,36,24,12,40,4
H,松本,△,1,1,37,25,12,41,2
A,水戸,△,1,1,38,26,12,42,4
A,大分,○,4,1,42,27,15,45,3
H,山形,△,0,0,42,27,15,46,4
H,北九州,○,1,0,43,27,16,49,4
A,横浜FC,●,0,1,43,28,15,49,5
A,福岡,○,3,1,46,29,17,52,3
H,東京Ｖ,△,1,1,47,30,17,53,4
A,徳島,△,0,0,47,30,17,54,3
H,栃木,○,2,1,49,31,18,57,2
A,京都,○,2,1,51,32,19,60,2
H,草津,○,2,0,53,32,21,63,2
A,岡山,●,1,3,54,35,19,63,2
A,岐阜,●,2,3,56,38,18,63,2
H,熊本,●,1,2,57,40,17,63,2
H,愛媛,△,0,0,57,40,17,64,2
A,甲府,△,2,2,59,42,17,65,2
H,千葉,△,1,1,60,43,17,66,3
A,富山,○,2,0,62,43,19,69,3
H,鳥取,○,1,0,63,43,20,72,3
A,町田,○,3,0,66,43,23,75,2
