H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,東京Ｖ,○,1,0,1,0,1,1,0,0,3,5
H,山形,○,2,1,3,1,2,2,0,0,6,2
H,京都,●,1,2,4,3,1,2,0,1,6,3
A,徳島,●,1,2,5,5,0,2,0,2,6,8
H,札幌,●,0,1,5,6,-1,2,0,3,6,12
H,水戸,△,1,1,6,7,-1,2,1,3,7,15
A,鳥取,△,0,0,6,7,-1,2,2,3,8,15
H,北九州,○,2,1,8,8,0,3,2,3,11,12
A,群馬,○,1,0,9,8,1,4,2,3,14,8
A,千葉,△,1,1,10,9,1,4,3,3,15,9
H,松本,●,0,1,10,10,0,4,3,4,15,11
H,神戸,△,0,0,10,10,0,4,4,4,16,10
A,横浜FC,○,1,0,11,10,1,5,4,4,19,9
H,Ｇ大阪,●,2,3,13,13,0,5,4,5,19,11
A,富山,○,2,1,15,14,1,6,4,5,22,10
H,岐阜,○,2,1,17,15,2,7,4,5,25,8
H,熊本,△,1,1,18,16,2,7,5,5,26,9
A,栃木,●,0,2,18,18,0,7,5,6,26,11
A,岡山,△,1,1,19,19,0,7,6,6,27,10
H,愛媛,○,2,0,21,19,2,8,6,6,30,8
A,長崎,△,0,0,21,19,2,8,7,6,31,8
H,群馬,○,1,0,22,19,3,9,7,6,34,7
A,札幌,●,0,3,22,22,0,9,7,7,34,8
H,栃木,○,2,0,24,22,2,10,7,7,37,6
A,岐阜,○,2,0,26,22,4,11,7,7,40,6
A,京都,●,1,2,27,24,3,11,7,8,40,7
H,東京Ｖ,●,2,3,29,27,2,11,7,9,40,7
A,Ｇ大阪,●,0,1,29,28,1,11,7,10,40,9
H,長崎,○,2,1,31,29,2,12,7,10,43,8
A,水戸,△,0,0,31,29,2,12,8,10,44,10
A,神戸,●,0,4,31,33,-2,12,8,11,44,11
H,千葉,●,3,4,34,37,-3,12,8,12,44,13
H,横浜FC,●,1,5,35,42,-7,12,8,13,44,13
A,山形,●,1,2,36,44,-8,12,8,14,44,15
H,富山,●,1,4,37,48,-11,12,8,15,44,15
A,北九州,○,2,0,39,48,-9,13,8,15,47,14
H,鳥取,△,1,1,40,49,-9,13,9,15,48,15
A,松本,●,1,2,41,51,-10,13,9,16,48,15
H,徳島,○,1,0,42,51,-9,14,9,16,51,13
A,熊本,△,1,1,43,52,-9,14,10,16,52,15
A,愛媛,△,2,2,45,54,-9,14,11,16,53,15
H,岡山,○,2,0,47,54,-7,15,11,16,56,14
