H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
H,京都,△,3,3,3,3,0,0,1,0,1,9
A,長崎,○,3,1,6,4,2,1,1,0,4,3
H,横浜FC,△,0,0,6,4,2,1,2,0,5,5
A,熊本,△,2,2,8,6,2,1,3,0,6,5
H,千葉,△,1,1,9,7,2,1,4,0,7,8
A,札幌,○,3,1,12,8,4,2,4,0,10,3
H,東京Ｖ,△,0,0,12,8,4,2,5,0,11,6
A,山形,○,1,0,13,8,5,3,5,0,14,2
H,松本,○,1,0,14,8,6,4,5,0,17,2
A,富山,○,4,0,18,8,10,5,5,0,20,2
H,鳥取,△,1,1,19,9,10,5,6,0,21,2
H,岐阜,○,2,0,21,9,12,6,6,0,24,2
A,神戸,●,0,2,21,11,10,6,6,1,24,3
A,福岡,○,3,2,24,13,11,7,6,1,27,2
H,群馬,○,5,1,29,14,15,8,6,1,30,2
A,愛媛,○,2,1,31,15,16,9,6,1,33,1
H,栃木,○,3,0,34,15,19,10,6,1,36,1
A,北九州,○,1,0,35,15,20,11,6,1,39,1
A,水戸,○,2,0,37,15,22,12,6,1,42,1
H,岡山,△,1,1,38,16,22,12,7,1,43,1
H,徳島,○,2,0,40,16,24,13,7,1,46,1
A,岐阜,○,8,2,48,18,30,14,7,1,49,1
A,千葉,●,0,3,48,21,27,14,7,2,49,1
H,北九州,△,1,1,49,22,27,14,8,2,50,1
H,神戸,○,3,2,52,24,28,15,8,2,53,1
A,東京Ｖ,△,3,3,55,27,28,15,9,2,54,1
A,岡山,○,3,2,58,29,29,16,9,2,57,1
H,福岡,○,1,0,59,29,30,17,9,2,60,1
H,札幌,○,3,0,62,29,33,18,9,2,63,1
A,鳥取,○,7,1,69,30,39,19,9,2,66,1
A,横浜FC,△,2,2,71,32,39,19,10,2,67,1
H,長崎,●,1,2,72,34,38,19,10,3,67,1
H,水戸,○,5,0,77,34,43,20,10,3,70,1
A,松本,△,2,2,79,36,43,20,11,3,71,1
H,愛媛,●,0,1,79,37,42,20,11,4,71,2
A,栃木,●,2,4,81,41,40,20,11,5,71,2
H,富山,○,3,1,84,42,42,21,11,5,74,2
A,徳島,○,5,1,89,43,46,22,11,5,77,2
H,熊本,○,4,0,93,43,50,23,11,5,80,1
A,京都,○,2,0,95,43,52,24,11,5,83,1
H,山形,○,3,2,98,45,53,25,11,5,86,1
A,群馬,△,1,1,99,46,53,25,12,5,87,1
