H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,徳島,○,1,0,1,0,1,1,0,0,3,5
H,岐阜,○,4,0,5,0,5,2,0,0,6,1
H,札幌,○,1,0,6,0,6,3,0,0,9,1
A,京都,●,1,4,7,4,3,3,0,1,9,1
H,群馬,○,4,1,11,5,6,4,0,1,12,1
A,松本,○,2,1,13,6,7,5,0,1,15,1
H,山形,○,1,0,14,6,8,6,0,1,18,1
A,富山,△,0,0,14,6,8,6,1,1,19,1
H,北九州,○,2,1,16,7,9,7,1,1,22,1
A,横浜FC,○,2,1,18,8,10,8,1,1,25,1
H,岡山,△,3,3,21,11,10,8,2,1,26,1
A,福岡,△,0,0,21,11,10,8,3,1,27,1
H,Ｇ大阪,○,2,0,23,11,12,9,3,1,30,1
A,東京Ｖ,●,1,2,24,13,11,9,3,2,30,1
A,愛媛,○,4,2,28,15,13,10,3,2,33,1
H,鳥取,●,0,1,28,16,12,10,3,3,33,2
A,水戸,○,2,0,30,16,14,11,3,3,36,2
H,千葉,△,2,2,32,18,14,11,4,3,37,2
A,栃木,△,2,2,34,20,14,11,5,3,38,2
H,長崎,○,2,0,36,20,16,12,5,3,41,2
A,熊本,○,2,1,38,21,17,13,5,3,44,2
A,岡山,●,0,1,38,22,16,13,5,4,44,2
H,愛媛,○,2,0,40,22,18,14,5,4,47,2
H,富山,○,1,0,41,22,19,15,5,4,50,2
A,Ｇ大阪,●,2,3,43,25,18,15,5,5,50,2
H,横浜FC,○,1,0,44,25,19,16,5,5,53,2
H,栃木,○,2,0,46,25,21,17,5,5,56,2
A,岐阜,●,0,1,46,26,20,17,5,6,56,2
A,山形,●,2,3,48,29,19,17,5,7,56,2
H,東京Ｖ,○,2,1,50,30,20,18,5,7,59,2
H,福岡,○,4,0,54,30,24,19,5,7,62,2
A,北九州,○,3,2,57,32,25,20,5,7,65,2
A,長崎,○,2,0,59,32,27,21,5,7,68,2
H,徳島,○,3,2,62,34,28,22,5,7,71,2
H,水戸,△,1,1,63,35,28,22,6,7,72,1
A,千葉,●,1,2,64,37,27,22,6,8,72,1
H,松本,○,7,0,71,37,34,23,6,8,75,1
A,鳥取,○,2,1,73,38,35,24,6,8,78,1
H,京都,△,0,0,73,38,35,24,7,8,79,2
A,札幌,●,0,1,73,39,34,24,7,9,79,2
A,群馬,△,2,2,75,41,34,24,8,9,80,2
H,熊本,○,3,0,78,41,37,25,8,9,83,2
