H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
A,北九州,○,2,1,2,1,1,3,3
A,水戸,●,0,1,2,2,0,3,10
H,愛媛,○,1,0,3,2,1,6,4
A,長崎,●,0,1,3,3,0,6,9
H,京都,○,1,0,4,3,1,9,4
A,熊本,△,1,1,5,4,1,10,6
H,栃木,●,1,2,6,6,0,10,12
H,神戸,△,0,0,6,6,0,11,13
A,岐阜,○,3,2,9,8,1,14,8
H,Ｇ大阪,●,0,4,9,12,-3,14,13
H,東京Ｖ,△,1,1,10,13,-3,15,12
A,山形,●,1,3,11,16,-5,15,14
H,鳥取,△,1,1,12,17,-5,16,16
A,千葉,●,2,3,14,20,-6,16,17
H,福岡,●,1,2,15,22,-7,16,17
A,松本,●,0,3,15,25,-10,16,18
H,徳島,○,2,1,17,26,-9,19,16
H,群馬,△,0,0,17,26,-9,20,17
A,札幌,●,0,1,17,27,-10,20,18
A,横浜FC,●,1,2,18,29,-11,20,19
H,岡山,△,0,0,18,29,-11,21,17
H,千葉,●,1,2,19,31,-12,21,19
A,栃木,△,1,1,20,32,-12,22,18
A,神戸,●,0,1,20,33,-13,22,19
H,長崎,△,1,1,21,34,-13,23,19
A,群馬,△,1,1,22,35,-13,24,19
H,札幌,○,3,1,25,36,-11,27,17
A,鳥取,○,3,2,28,38,-10,30,16
A,徳島,●,0,2,28,40,-12,30,17
H,松本,●,0,1,28,41,-13,30,18
H,山形,●,1,3,29,44,-15,30,19
A,愛媛,△,0,0,29,44,-15,31,18
H,北九州,△,0,0,29,44,-15,32,18
A,京都,●,2,3,31,47,-16,32,19
A,福岡,○,4,1,35,48,-13,35,19
H,熊本,●,1,2,36,50,-14,35,19
A,Ｇ大阪,●,1,3,37,53,-16,35,19
H,水戸,○,2,1,39,54,-15,38,19
A,東京Ｖ,○,2,1,41,55,-14,41,19
H,横浜FC,●,0,1,41,56,-15,41,19
A,岡山,○,3,1,44,57,-13,44,18
H,岐阜,●,1,2,45,59,-14,44,18
