H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
A,愛媛,●,1,3,1,3,-2,0,21
A,福岡,●,1,2,2,5,-3,0,20
H,長崎,○,2,0,4,5,-1,3,16
H,栃木,○,2,1,6,6,0,6,7
A,北九州,○,2,1,8,7,1,9,3
H,横浜FC,○,5,1,13,8,5,12,2
A,神戸,●,0,1,13,9,4,12,4
H,Ｇ大阪,●,0,1,13,10,3,12,6
A,東京Ｖ,●,0,2,13,12,1,12,12
H,熊本,○,1,0,14,12,2,15,7
A,岐阜,△,1,1,15,13,2,16,7
H,富山,○,3,1,18,14,4,19,6
A,岡山,●,3,4,21,18,3,19,8
H,札幌,●,0,1,21,19,2,19,9
A,鳥取,○,6,0,27,19,8,22,9
H,京都,●,1,2,28,21,7,22,12
A,千葉,○,3,1,31,22,9,25,10
H,徳島,△,2,2,33,24,9,26,9
A,群馬,△,2,2,35,26,9,27,8
H,松本,○,4,1,39,27,12,30,7
A,水戸,○,3,1,42,28,14,33,7
H,鳥取,●,2,3,44,31,13,33,8
A,長崎,●,1,2,45,33,12,33,9
H,千葉,●,0,3,45,36,9,33,10
H,岡山,●,1,2,46,38,8,33,13
A,熊本,△,1,1,47,39,8,34,14
A,京都,△,1,1,48,40,8,35,13
H,群馬,△,1,1,49,41,8,36,13
H,神戸,○,3,2,52,43,9,39,13
A,栃木,△,1,1,53,44,9,40,13
A,富山,○,3,1,56,45,11,43,12
H,水戸,○,2,1,58,46,12,46,9
A,徳島,△,2,2,60,48,12,47,10
H,福岡,○,2,1,62,49,13,50,8
H,北九州,●,0,1,62,50,12,50,11
A,横浜FC,△,1,1,63,51,12,51,9
A,札幌,●,1,3,64,54,10,51,11
H,愛媛,○,3,0,67,54,13,54,9
H,岐阜,△,2,2,69,56,13,55,11
A,松本,○,3,2,72,58,14,58,10
A,Ｇ大阪,●,2,3,74,61,13,58,10
H,東京Ｖ,△,0,0,74,61,13,59,10
