H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,京都,△,3,3,3,3,0,1,9
A,長崎,○,3,1,6,4,2,4,3
H,横浜FC,△,0,0,6,4,2,5,5
A,熊本,△,2,2,8,6,2,6,5
H,千葉,△,1,1,9,7,2,7,8
A,札幌,○,3,1,12,8,4,10,3
H,東京Ｖ,△,0,0,12,8,4,11,6
A,山形,○,1,0,13,8,5,14,2
H,松本,○,1,0,14,8,6,17,2
A,富山,○,4,0,18,8,10,20,2
H,鳥取,△,1,1,19,9,10,21,2
H,岐阜,○,2,0,21,9,12,24,2
A,神戸,●,0,2,21,11,10,24,3
A,福岡,○,3,2,24,13,11,27,2
H,群馬,○,5,1,29,14,15,30,2
A,愛媛,○,2,1,31,15,16,33,1
H,栃木,○,3,0,34,15,19,36,1
A,北九州,○,1,0,35,15,20,39,1
A,水戸,○,2,0,37,15,22,42,1
H,岡山,△,1,1,38,16,22,43,1
H,徳島,○,2,0,40,16,24,46,1
A,岐阜,○,8,2,48,18,30,49,1
A,千葉,●,0,3,48,21,27,49,1
H,北九州,△,1,1,49,22,27,50,1
H,神戸,○,3,2,52,24,28,53,1
A,東京Ｖ,△,3,3,55,27,28,54,1
A,岡山,○,3,2,58,29,29,57,1
H,福岡,○,1,0,59,29,30,60,1
H,札幌,○,3,0,62,29,33,63,1
A,鳥取,○,7,1,69,30,39,66,1
A,横浜FC,△,2,2,71,32,39,67,1
H,長崎,●,1,2,72,34,38,67,1
H,水戸,○,5,0,77,34,43,70,1
A,松本,△,2,2,79,36,43,71,1
H,愛媛,●,0,1,79,37,42,71,2
A,栃木,●,2,4,81,41,40,71,2
H,富山,○,3,1,84,42,42,74,2
A,徳島,○,5,1,89,43,46,77,2
H,熊本,○,4,0,93,43,50,80,1
A,京都,○,2,0,95,43,52,83,1
H,山形,○,3,2,98,45,53,86,1
A,群馬,△,1,1,99,46,53,87,1
