H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,北九州,○,3,1,3,1,2,1,0,0,3,1
A,福岡,●,0,1,3,2,1,1,0,1,3,8
H,栃木,△,0,0,3,2,1,1,1,1,4,11
A,富山,○,2,1,5,3,2,2,1,1,7,6
H,札幌,△,1,1,6,4,2,2,2,1,8,7
A,大分,○,3,0,9,4,5,3,2,1,11,3
H,山形,△,2,2,11,6,5,3,3,1,12,5
A,松本,△,2,2,13,8,5,3,4,1,13,7
H,愛媛,△,0,0,13,8,5,3,5,1,14,6
A,湘南,●,0,3,13,11,2,3,5,2,14,12
H,讃岐,○,4,1,17,12,5,4,5,2,17,8
A,横浜FC,○,2,0,19,12,7,5,5,2,20,5
H,長崎,○,2,0,21,12,9,6,5,2,23,4
A,水戸,●,1,5,22,17,5,6,5,3,23,5
H,群馬,●,0,3,22,20,2,6,5,4,23,6
A,岐阜,●,1,2,23,22,1,6,5,5,23,9
H,東京Ｖ,○,1,0,24,22,2,7,5,5,26,7
A,千葉,●,0,3,24,25,-1,7,5,6,26,11
A,熊本,○,4,1,28,26,2,8,5,6,29,9
H,岡山,△,1,1,29,27,2,8,6,6,30,7
H,磐田,●,2,3,31,30,1,8,6,7,30,10
A,愛媛,△,0,0,31,30,1,8,7,7,31,11
H,福岡,○,3,1,34,31,3,9,7,7,34,7
A,東京Ｖ,●,0,1,34,32,2,9,7,8,34,9
H,水戸,△,1,1,35,33,2,9,8,8,35,7
A,札幌,○,1,0,36,33,3,10,8,8,38,7
H,大分,△,2,2,38,35,3,10,9,8,39,7
A,讃岐,△,2,2,40,37,3,10,10,8,40,8
H,北九州,△,1,1,41,38,3,10,11,8,41,8
H,千葉,△,3,3,44,41,3,10,12,8,42,11
A,群馬,○,1,0,45,41,4,11,12,8,45,7
A,山形,●,0,1,45,42,3,11,12,9,45,9
H,湘南,△,2,2,47,44,3,11,13,9,46,9
H,横浜FC,○,2,1,49,45,4,12,13,9,49,8
A,栃木,●,1,2,50,47,3,12,13,10,49,9
H,熊本,△,0,0,50,47,3,12,14,10,50,9
H,松本,△,0,0,50,47,3,12,15,10,51,10
A,磐田,△,2,2,52,49,3,12,16,10,52,10
A,岡山,○,3,2,55,51,4,13,16,10,55,9
H,富山,△,1,1,56,52,4,13,17,10,56,10
A,長崎,○,1,0,57,52,5,14,17,10,59,8
H,岐阜,△,0,0,57,52,5,14,18,10,60,9
