H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
A,横浜FC,△,0,0,0,0,0,1,10
H,水戸,●,0,2,0,2,-2,1,18
A,福岡,△,1,1,1,3,-2,2,18
H,東京Ｖ,○,2,1,3,4,-1,5,14
H,岐阜,△,0,0,3,4,-1,6,15
A,山形,●,0,2,3,6,-3,6,18
H,富山,○,4,0,7,6,1,9,16
A,長崎,●,1,2,8,8,0,9,16
A,京都,△,0,0,8,8,0,10,16
H,栃木,●,0,1,8,9,-1,10,18
A,松本,●,1,2,9,11,-2,10,18
H,磐田,●,0,1,9,12,-3,10,18
A,札幌,○,1,0,10,12,-2,13,17
H,讃岐,○,2,0,12,12,0,16,16
H,湘南,○,1,0,13,12,1,19,14
A,千葉,●,0,1,13,13,0,19,17
H,群馬,●,0,2,13,15,-2,19,17
H,岡山,●,2,3,15,18,-3,19,18
A,大分,△,2,2,17,20,-3,20,17
H,熊本,○,4,0,21,20,1,23,16
A,北九州,○,3,0,24,20,4,26,15
H,京都,△,0,0,24,20,4,27,14
H,札幌,●,2,3,26,23,3,27,16
A,富山,○,3,1,29,24,5,30,14
H,福岡,△,0,0,29,24,5,31,16
A,岐阜,●,3,4,32,28,4,31,17
H,松本,●,1,4,33,32,1,31,17
A,水戸,△,0,0,33,32,1,32,17
H,大分,●,1,2,34,34,0,32,17
A,栃木,△,3,3,37,37,0,33,18
H,山形,○,4,0,41,37,4,36,17
A,岡山,△,1,1,42,38,4,37,17
H,千葉,△,2,2,44,40,4,38,18
A,磐田,●,0,2,44,42,2,38,19
A,湘南,●,0,3,44,45,-1,38,19
H,横浜FC,○,2,1,46,46,0,41,19
A,讃岐,○,2,1,48,47,1,44,17
A,東京Ｖ,△,1,1,49,48,1,45,17
H,長崎,●,0,3,49,51,-2,45,17
A,熊本,●,1,3,50,54,-4,45,17
H,北九州,○,2,1,52,55,-3,48,17
A,群馬,●,2,3,54,58,-4,48,19
