H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,愛媛,△,0,0,0,0,0,1,10
A,栃木,△,1,1,1,1,0,2,15
A,富山,○,2,1,3,2,1,5,9
H,山形,○,2,1,5,3,2,8,4
A,福岡,●,0,1,5,4,1,8,10
H,熊本,●,0,1,5,5,0,8,12
H,岐阜,●,0,1,5,6,-1,8,18
A,磐田,△,2,2,7,8,-1,9,17
H,湘南,●,1,3,8,11,-3,9,18
A,讃岐,○,1,0,9,11,-2,12,16
A,北九州,●,1,2,10,13,-3,12,17
H,京都,●,0,2,10,15,-5,12,17
A,松本,●,0,2,10,17,-7,12,20
A,大分,●,0,1,10,18,-8,12,20
H,千葉,△,0,0,10,18,-8,13,20
A,群馬,○,2,0,12,18,-6,16,18
H,長崎,●,1,2,13,20,-7,16,19
H,札幌,△,2,2,15,22,-7,17,19
A,岡山,△,0,0,15,22,-7,18,19
H,東京Ｖ,△,0,0,15,22,-7,19,19
H,水戸,△,1,1,16,23,-7,20,19
A,岐阜,○,2,1,18,24,-6,23,18
H,磐田,○,4,0,22,24,-2,26,18
A,札幌,○,1,0,23,24,-1,29,16
H,富山,○,2,0,25,24,1,32,13
A,千葉,△,0,0,25,24,1,33,14
H,讃岐,○,4,2,29,26,3,36,11
A,東京Ｖ,△,1,1,30,27,3,37,11
H,福岡,○,2,0,32,27,5,40,10
H,群馬,○,1,0,33,27,6,43,9
A,熊本,△,2,2,35,29,6,44,8
A,長崎,●,0,1,35,30,5,44,10
H,大分,△,1,1,36,31,5,45,10
A,京都,●,1,2,37,33,4,45,12
H,松本,●,0,2,37,35,2,45,13
A,愛媛,●,1,2,38,37,1,45,13
H,栃木,○,3,0,41,37,4,48,11
A,山形,○,4,2,45,39,6,51,11
A,水戸,△,2,2,47,41,6,52,11
H,岡山,●,0,2,47,43,4,52,12
A,湘南,●,1,4,48,47,1,52,12
H,北九州,○,1,0,49,47,2,55,11
