H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,福岡,○,2,1,2,1,1,3,6
H,松本,●,0,1,2,2,0,3,9
A,磐田,●,1,3,3,5,-2,3,16
H,大分,△,1,1,4,6,-2,4,17
A,千葉,●,0,3,4,9,-5,4,19
A,横浜FC,○,1,0,5,9,-4,7,16
H,讃岐,○,4,1,9,10,-1,10,12
A,山形,○,2,1,11,11,0,13,8
H,長崎,△,1,1,12,12,0,14,10
A,水戸,△,0,0,12,12,0,15,9
H,岡山,△,0,0,12,12,0,16,10
A,札幌,△,2,2,14,14,0,17,10
H,湘南,●,1,3,15,17,-2,17,14
H,東京Ｖ,△,0,0,15,17,-2,18,14
A,栃木,△,1,1,16,18,-2,19,15
H,富山,○,2,0,18,18,0,22,12
A,北九州,△,1,1,19,19,0,23,12
A,群馬,△,1,1,20,20,0,24,14
H,京都,●,1,4,21,24,-3,24,15
A,愛媛,●,0,4,21,28,-7,24,15
H,岐阜,●,0,3,21,31,-10,24,17
A,湘南,●,1,2,22,33,-11,24,17
H,水戸,○,2,1,24,34,-10,27,17
A,松本,●,1,2,25,36,-11,27,19
H,群馬,●,0,1,25,37,-12,27,19
A,讃岐,△,1,1,26,38,-12,28,19
H,千葉,△,0,0,26,38,-12,29,19
A,富山,○,2,0,28,38,-10,32,18
H,札幌,●,0,2,28,40,-12,32,18
A,大分,○,1,0,29,40,-11,35,16
H,横浜FC,△,2,2,31,42,-11,36,18
H,栃木,○,2,1,33,43,-10,39,16
A,岐阜,○,3,2,36,45,-9,42,14
H,北九州,●,0,1,36,46,-10,42,15
A,東京Ｖ,●,0,1,36,47,-11,42,17
A,京都,△,0,0,36,47,-11,43,17
H,磐田,△,0,0,36,47,-11,44,19
A,長崎,○,1,0,37,47,-10,47,14
H,山形,●,1,3,38,50,-12,47,15
H,愛媛,○,3,1,41,51,-10,50,14
A,岡山,△,1,1,42,52,-10,51,14
A,福岡,○,3,1,45,53,-8,54,13
