H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,水戸,△,0,0,0,0,0,0,1,0,1,11
H,群馬,△,2,2,2,2,0,0,2,0,2,15
A,愛媛,○,1,0,3,2,1,1,2,0,5,10
A,福岡,●,0,1,3,3,0,1,2,1,5,13
H,徳島,△,2,2,5,5,0,1,3,1,6,13
A,大宮,●,0,2,5,7,-2,1,3,2,6,15
H,横浜FC,●,0,1,5,8,-3,1,3,3,6,17
A,岡山,●,0,3,5,11,-6,1,3,4,6,20
H,金沢,●,0,2,5,13,-8,1,3,5,6,21
H,千葉,●,0,4,5,17,-12,1,3,6,6,22
A,栃木,△,2,2,7,19,-12,1,4,6,7,21
H,大分,△,0,0,7,19,-12,1,5,6,8,21
A,札幌,○,3,2,10,21,-11,2,5,6,11,20
H,岐阜,●,1,2,11,23,-12,2,5,7,11,22
H,Ｃ大阪,△,0,0,11,23,-12,2,6,7,12,21
A,京都,●,1,2,12,25,-13,2,6,8,12,21
H,長崎,○,1,0,13,25,-12,3,6,8,15,19
A,北九州,●,0,2,13,27,-14,3,6,9,15,19
A,東京Ｖ,○,2,0,15,27,-12,4,6,9,18,18
H,讃岐,●,0,1,15,28,-13,4,6,10,18,20
A,磐田,△,1,1,16,29,-13,4,7,10,19,20
A,群馬,△,1,1,17,30,-13,4,8,10,20,20
H,愛媛,○,2,0,19,30,-11,5,8,10,23,17
A,横浜FC,○,3,0,22,30,-8,6,8,10,26,16
H,東京Ｖ,●,0,1,22,31,-9,6,8,11,26,19
A,千葉,○,3,2,25,33,-8,7,8,11,29,18
H,栃木,○,2,0,27,33,-6,8,8,11,32,14
A,岐阜,○,1,0,28,33,-5,9,8,11,35,12
H,北九州,●,0,1,28,34,-6,9,8,12,35,15
H,札幌,△,1,1,29,35,-6,9,9,12,36,15
A,大分,○,1,0,30,35,-5,10,9,12,39,12
H,京都,△,0,0,30,35,-5,10,10,12,40,13
H,福岡,●,0,1,30,36,-6,10,10,13,40,14
A,金沢,△,1,1,31,37,-6,10,11,13,41,15
A,長崎,○,2,1,33,38,-5,11,11,13,44,14
H,大宮,○,3,0,36,38,-2,12,11,13,47,11
A,讃岐,○,2,0,38,38,0,13,11,13,50,9
H,磐田,●,0,2,38,40,-2,13,11,14,50,10
A,Ｃ大阪,△,1,1,39,41,-2,13,12,14,51,11
H,水戸,△,1,1,40,42,-2,13,13,14,52,12
A,徳島,●,1,2,41,44,-3,13,13,15,52,14
H,岡山,△,1,1,42,45,-3,13,14,15,53,13
