H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
H,横浜FC,●,0,1,0,1,-1,0,0,1,0,16
A,熊本,△,2,2,2,3,-1,0,1,1,1,16
H,大分,△,1,1,3,4,-1,0,2,1,2,18
A,北九州,○,1,0,4,4,0,1,2,1,5,12
H,長崎,●,0,1,4,5,-1,1,2,2,5,14
A,金沢,●,1,2,5,7,-2,1,2,3,5,17
H,愛媛,●,0,1,5,8,-3,1,2,4,5,18
A,Ｃ大阪,○,2,1,7,9,-2,2,2,4,8,16
A,東京Ｖ,●,0,2,7,11,-4,2,2,5,8,18
H,讃岐,○,1,0,8,11,-3,3,2,5,11,15
A,京都,○,1,0,9,11,-2,4,2,5,14,14
A,福岡,●,1,4,10,15,-5,4,2,6,14,15
H,大宮,●,0,2,10,17,-7,4,2,7,14,16
H,札幌,●,0,2,10,19,-9,4,2,8,14,17
A,磐田,○,2,1,12,20,-8,5,2,8,17,15
H,千葉,○,2,0,14,20,-6,6,2,8,20,14
A,栃木,●,1,5,15,25,-10,6,2,9,20,14
H,岡山,△,1,1,16,26,-10,6,3,9,21,14
H,水戸,●,0,1,16,27,-11,6,3,10,21,16
A,岐阜,△,1,1,17,28,-11,6,4,10,22,17
H,徳島,○,2,1,19,29,-10,7,4,10,25,15
H,熊本,△,1,1,20,30,-10,7,5,10,26,15
A,千葉,○,2,1,22,31,-9,8,5,10,29,14
H,栃木,○,1,0,23,31,-8,9,5,10,32,12
A,長崎,●,0,1,23,32,-9,9,5,11,32,13
A,大分,●,0,2,23,34,-11,9,5,12,32,14
A,讃岐,○,1,0,24,34,-10,10,5,12,35,13
H,金沢,○,1,0,25,34,-9,11,5,12,38,11
A,大宮,△,1,1,26,35,-9,11,6,12,39,11
H,岐阜/27節,●,0,1,26,36,-10,11,6,13,39,11
H,東京Ｖ,●,1,3,27,39,-12,11,6,14,39,13
A,岡山,●,0,3,27,42,-15,11,6,15,39,15
H,磐田,●,2,3,29,45,-16,11,6,16,39,15
A,札幌,△,0,0,29,45,-16,11,7,16,40,16
H,京都,△,1,1,30,46,-16,11,8,16,41,16
A,徳島,○,1,0,31,46,-15,12,8,16,44,15
H,Ｃ大阪,○,2,0,33,46,-13,13,8,16,47,15
A,愛媛,●,0,3,33,49,-16,13,8,17,47,15
A,水戸,△,0,0,33,49,-16,13,9,17,48,15
H,福岡,●,0,4,33,53,-20,13,9,18,48,15
H,北九州,●,1,2,34,55,-21,13,9,19,48,17
A,横浜FC,●,0,1,34,56,-22,13,9,20,48,18
