H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,磐田,●,1,3,1,3,-2,0,0,1,0,19
H,徳島,○,2,0,3,3,0,1,0,1,3,9
A,長崎,●,0,2,3,5,-2,1,0,2,3,16
H,群馬,●,0,1,3,6,-3,1,0,3,3,20
A,東京Ｖ,●,0,2,3,8,-5,1,0,4,3,21
H,讃岐,○,2,0,5,8,-3,2,0,4,6,16
A,栃木,○,4,2,9,10,-1,3,0,4,9,14
H,福岡,●,0,1,9,11,-2,3,0,5,9,14
A,京都,●,0,2,9,13,-4,3,0,6,9,15
A,愛媛,○,3,2,12,15,-3,4,0,6,12,13
H,岐阜,○,2,1,14,16,-2,5,0,6,15,13
A,大宮,●,0,2,14,18,-4,5,0,7,15,14
H,Ｃ大阪,●,0,3,14,21,-7,5,0,8,15,14
A,横浜FC,●,0,1,14,22,-8,5,0,9,15,15
A,千葉,○,3,1,17,23,-6,6,0,9,18,14
H,大分,○,2,1,19,24,-5,7,0,9,21,12
A,水戸,○,2,1,21,25,-4,8,0,9,24,10
H,熊本,○,2,0,23,25,-2,9,0,9,27,10
A,札幌,△,1,1,24,26,-2,9,1,9,28,10
H,岡山,●,2,3,26,29,-3,9,1,10,28,12
H,金沢,△,1,1,27,30,-3,9,2,10,29,13
A,福岡,●,2,4,29,34,-5,9,2,11,29,13
A,徳島,○,1,0,30,34,-4,10,2,11,32,11
H,東京Ｖ,●,0,1,30,35,-5,10,2,12,32,11
H,札幌,△,1,1,31,36,-5,10,3,12,33,11
A,讃岐,●,0,1,31,37,-6,10,3,13,33,13
H,大宮,●,1,2,32,39,-7,10,3,14,33,13
A,岡山,○,1,0,33,39,-6,11,3,14,36,11
A,熊本,○,1,0,34,39,-5,12,3,14,39,10
H,水戸,△,2,2,36,41,-5,12,4,14,40,10
A,岐阜,●,0,1,36,42,-6,12,4,15,40,11
H,千葉,○,3,1,39,43,-4,13,4,15,43,10
A,大分,●,1,2,40,45,-5,13,4,16,43,10
H,磐田,●,2,3,42,48,-6,13,4,17,43,12
H,横浜FC,○,3,1,45,49,-4,14,4,17,46,12
A,Ｃ大阪,●,0,1,45,50,-5,14,4,18,46,14
H,愛媛,○,3,2,48,52,-4,15,4,18,49,11
A,金沢,○,4,0,52,52,0,16,4,18,52,9
H,京都,●,1,2,53,54,-1,16,4,19,52,9
H,栃木,△,2,2,55,56,-1,16,5,19,53,11
A,群馬,○,2,1,57,57,0,17,5,19,56,9
H,長崎,○,2,1,59,58,1,18,5,19,59,7
