H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,長崎,○,1,0,1,0,1,1,0,0,3,6
H,水戸,○,2,0,3,0,3,2,0,0,6,3
A,栃木,△,1,1,4,1,3,2,1,0,7,2
H,岡山,○,1,0,5,1,4,3,1,0,10,1
H,Ｃ大阪,△,4,4,9,5,4,3,2,0,11,2
A,京都,○,2,0,11,5,6,4,2,0,14,2
H,大宮,○,2,0,13,5,8,5,2,0,17,1
A,愛媛,●,0,1,13,6,7,5,2,1,17,3
H,磐田,●,0,2,13,8,5,5,2,2,17,4
A,熊本,○,4,0,17,8,9,6,2,2,20,3
H,横浜FC,○,3,0,20,8,12,7,2,2,23,2
A,東京Ｖ,△,0,0,20,8,12,7,3,2,24,3
A,讃岐,○,1,0,21,8,13,8,3,2,27,2
H,金沢,△,1,1,22,9,13,8,4,2,28,2
H,北九州,●,1,3,23,12,11,8,4,3,28,4
A,群馬,●,0,2,23,14,9,8,4,4,28,4
H,札幌,△,1,1,24,15,9,8,5,4,29,5
H,福岡,△,2,2,26,17,9,8,6,4,30,6
A,大分,○,1,0,27,17,10,9,6,4,33,4
A,徳島,●,1,2,28,19,9,9,6,5,33,5
H,岐阜,○,3,1,31,20,11,10,6,5,36,4
A,金沢,△,0,0,31,20,11,10,7,5,37,4
H,群馬,●,1,2,32,22,10,10,7,6,37,5
A,磐田,●,0,1,32,23,9,10,7,7,37,5
A,水戸,△,1,1,33,24,9,10,8,7,38,7
H,熊本,●,2,3,35,27,8,10,8,8,38,7
H,徳島,○,1,0,36,27,9,11,8,8,41,7
A,Ｃ大阪,△,1,1,37,28,9,11,9,8,42,7
H,長崎,△,1,1,38,29,9,11,10,8,43,7
A,横浜FC,○,1,0,39,29,10,12,10,8,46,7
H,京都,△,1,1,40,30,10,12,11,8,47,7
A,北九州,●,1,3,41,33,8,12,11,9,47,8
H,栃木,○,2,0,43,33,10,13,11,9,50,7
A,大宮,●,1,2,44,35,9,13,11,10,50,8
H,愛媛,○,1,0,45,35,10,14,11,10,53,5
A,福岡,●,0,1,45,36,9,14,11,11,53,7
H,大分,△,2,2,47,38,9,14,12,11,54,6
A,岐阜,●,0,1,47,39,8,14,12,12,54,8
A,札幌,●,2,3,49,42,7,14,12,13,54,8
H,東京Ｖ,○,1,0,50,42,8,15,12,13,57,6
A,岡山,●,0,1,50,43,7,15,12,14,57,8
H,讃岐,●,0,2,50,45,5,15,12,15,57,9
