H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,札幌,●,1,2,1,2,-1,0,15
A,横浜FC,△,1,1,2,3,-1,1,16
H,千葉,△,1,1,3,4,-1,2,18
H,徳島,○,2,1,5,5,0,5,11
A,磐田,●,0,3,5,8,-3,5,17
A,長崎,●,0,1,5,9,-4,5,20
H,北九州,●,2,4,7,13,-6,5,19
A,岐阜,○,1,0,8,13,-5,8,17
H,愛媛,●,0,1,8,14,-6,8,19
A,大分,○,1,0,9,14,-5,11,16
H,熊本,△,2,2,11,16,-5,12,16
A,岡山,△,0,0,11,16,-5,13,16
H,福岡,△,0,0,11,16,-5,14,15
A,讃岐,△,0,0,11,16,-5,15,14
H,金沢,△,1,1,12,17,-5,16,16
A,東京Ｖ,●,2,3,14,20,-6,16,17
H,群馬,○,5,1,19,21,-2,19,15
H,大宮,●,0,2,19,23,-4,19,16
A,京都,○,2,1,21,24,-3,22,14
H,Ｃ大阪,●,0,3,21,27,-6,22,16
A,水戸,●,1,2,22,29,-7,22,16
A,愛媛,△,0,0,22,29,-7,23,16
H,磐田,●,0,2,22,31,-9,23,16
A,群馬,●,0,1,22,32,-10,23,20
H,讃岐,○,1,0,23,32,-9,26,18
H,岡山,△,2,2,25,34,-9,27,19
A,熊本,●,0,2,25,36,-11,27,20
A,大宮,●,0,1,25,37,-12,27,20
H,横浜FC,○,2,1,27,38,-11,30,20
H,岐阜,●,0,1,27,39,-12,30,20
A,Ｃ大阪,●,1,4,28,43,-15,30,21
H,水戸,△,2,2,30,45,-15,31,21
A,千葉,●,0,2,30,47,-17,31,22
H,長崎,●,0,1,30,48,-18,31,22
A,金沢,△,2,2,32,50,-18,32,22
H,大分,△,1,1,33,51,-18,33,22
A,福岡,●,2,4,35,55,-20,33,22
H,東京Ｖ,●,0,1,35,56,-21,33,22
A,徳島,△,1,1,36,57,-21,34,22
A,北九州,△,2,2,38,59,-21,35,22
H,京都,●,0,1,38,60,-22,35,22
A,札幌,●,1,4,39,64,-25,35,22
