H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,千葉,●,0,1,0,1,-1,0,16
A,札幌,○,1,0,1,1,0,3,12
H,北九州,○,2,0,3,1,2,6,5
H,東京Ｖ,△,1,1,4,2,2,7,5
A,群馬,○,1,0,5,2,3,10,3
H,栃木,○,1,0,6,2,4,13,3
A,京都,○,4,1,10,3,7,16,3
A,横浜FC,△,2,2,12,5,7,17,4
H,大分,●,0,1,12,6,6,17,3
A,岐阜,●,0,1,12,7,5,17,6
H,岡山,△,2,2,14,9,5,18,8
A,水戸,○,3,1,17,10,7,21,6
H,徳島,△,1,1,18,11,7,22,6
A,Ｃ大阪,○,2,1,20,12,8,25,6
H,愛媛,○,3,1,23,13,10,28,5
A,金沢,●,0,1,23,14,9,28,4
A,熊本,●,0,1,23,15,8,28,6
H,磐田,●,0,1,23,16,7,28,7
A,讃岐,△,0,0,23,16,7,29,8
H,福岡,△,0,0,23,16,7,30,8
H,大宮,●,0,1,23,17,6,30,10
A,岡山,△,1,1,24,18,6,31,10
H,京都,○,1,0,25,18,7,34,8
A,大分,●,1,2,26,20,6,34,9
H,群馬,○,1,0,27,20,7,37,8
A,福岡,△,0,0,27,20,7,38,8
H,横浜FC,○,2,0,29,20,9,41,8
H,札幌,△,0,0,29,20,9,42,8
A,千葉,△,1,1,30,21,9,43,8
H,讃岐,△,0,0,30,21,9,44,8
A,徳島,△,0,0,30,21,9,45,8
A,東京Ｖ,○,1,0,31,21,10,48,7
H,金沢,△,1,1,32,22,10,49,8
A,栃木,○,1,0,33,22,11,52,6
H,熊本,●,1,2,34,24,10,52,7
A,愛媛,△,0,0,34,24,10,53,6
H,岐阜,○,2,1,36,25,11,56,5
H,水戸,△,0,0,36,25,11,57,5
A,大宮,●,1,2,37,27,10,57,6
A,磐田,●,2,4,39,31,8,57,7
H,Ｃ大阪,○,2,0,41,31,10,60,6
A,北九州,●,1,2,42,33,9,60,6
