H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,清水,△,0,0,0,0,0,0,1,0,1,13
H,山形,△,1,1,1,1,0,0,2,0,2,15
A,札幌,△,1,1,2,2,0,0,3,0,3,14
H,岐阜,●,0,3,2,5,-3,0,3,1,3,18
A,横浜FC,△,0,0,2,5,-3,0,4,1,4,18
H,北九州,○,2,1,4,6,-2,1,4,1,7,15
A,水戸,○,2,1,6,7,-1,2,4,1,10,13
H,讃岐,○,1,0,7,7,0,3,4,1,13,12
H,松本,△,0,0,7,7,0,3,5,1,14,11
H,Ｃ大阪,△,0,0,7,7,0,3,6,1,15,13
H,京都,●,0,1,7,8,-1,3,6,2,15,13
A,金沢/8節,●,1,2,8,10,-2,3,6,3,15,13
A,岡山,●,1,2,9,12,-3,3,6,4,15,14
H,東京Ｖ,△,0,0,9,12,-3,3,7,4,16,16
A,群馬,○,2,1,11,13,-2,4,7,4,19,13
A,山口,△,1,1,12,14,-2,4,8,4,20,13
H,徳島,●,0,2,12,16,-4,4,8,5,20,15
A,町田,○,1,0,13,16,-3,5,8,5,23,11
H,長崎,●,0,1,13,17,-4,5,8,6,23,13
H,千葉,○,2,1,15,18,-3,6,8,6,26,10
A,讃岐,△,1,1,16,19,-3,6,9,6,27,11
H,清水,△,2,2,18,21,-3,6,10,6,28,11
H,山口,△,1,1,19,22,-3,6,11,6,29,12
A,徳島,●,0,2,19,24,-5,6,11,7,29,13
H,群馬,○,1,0,20,24,-4,7,11,7,32,12
A,千葉,△,0,0,20,24,-4,7,12,7,33,12
H,岡山,△,1,1,21,25,-4,7,13,7,34,12
A,北九州,△,1,1,22,26,-4,7,14,7,35,12
A,長崎,△,1,1,23,27,-4,7,15,7,36,13
A,熊本/11節,○,2,1,25,28,-3,8,15,7,39,11
H,熊本,○,1,0,26,28,-2,9,15,7,42,11
A,岐阜,●,1,2,27,30,-3,9,15,8,42,11
H,水戸,△,1,1,28,31,-3,9,16,8,43,11
H,横浜FC,○,3,0,31,31,0,10,16,8,46,9
A,山形,△,2,2,33,33,0,10,17,8,47,9
H,札幌,△,2,2,35,35,0,10,18,8,48,9
A,松本,△,1,1,36,36,0,10,19,8,49,9
A,東京Ｖ,△,1,1,37,37,0,10,20,8,50,9
H,金沢,○,3,1,40,38,2,11,20,8,53,9
H,Ｃ大阪,●,0,1,40,39,1,11,20,9,53,10
A,京都,○,1,0,41,39,2,12,20,9,56,10
H,町田,●,0,1,41,40,1,12,20,10,56,10
