H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,北九州,●,0,1,0,1,-1,0,0,1,0,17
A,愛媛,△,1,1,1,2,-1,0,1,1,1,16
A,徳島,△,2,2,3,4,-1,0,2,1,2,18
H,Ｃ大阪,●,0,1,3,5,-2,0,2,2,2,19
H,清水,●,0,1,3,6,-3,0,2,3,2,21
A,京都,●,2,3,5,9,-4,0,2,4,2,22
H,町田,●,0,1,5,10,-5,0,2,5,2,22
H,札幌,△,1,1,6,11,-5,0,3,5,3,21
A,岡山,○,1,0,7,11,-4,1,3,5,6,20
A,東京Ｖ,○,1,0,8,11,-3,2,3,5,9,18
H,群馬,○,3,1,11,12,-1,3,3,5,12,16
A,長崎,△,1,1,12,13,-1,3,4,5,13,16
H,金沢,△,0,0,12,13,-1,3,5,5,14,16
A,岐阜,○,1,0,13,13,0,4,5,5,17,14
H,横浜FC,△,0,0,13,13,0,4,6,5,18,14
A,千葉,●,0,3,13,16,-3,4,6,6,18,15
H,讃岐,○,2,1,15,17,-2,5,6,6,21,10
A,松本,●,0,1,15,18,-3,5,6,7,21,12
H,水戸,△,2,2,17,20,-3,5,7,7,22,14
H,山口,○,2,1,19,21,-2,6,7,7,25,11
H,熊本/10節,○,4,1,23,22,1,7,7,7,28,10
A,町田,●,1,2,24,24,0,7,7,8,28,10
A,金沢,●,0,1,24,25,-1,7,7,9,28,10
H,千葉,△,1,1,25,26,-1,7,8,9,29,11
H,岡山,●,0,1,25,27,-2,7,8,10,29,12
A,讃岐,●,1,2,26,29,-3,7,8,11,29,15
A,群馬,●,0,2,26,31,-5,7,8,12,29,16
H,京都,△,0,0,26,31,-5,7,9,12,30,16
A,札幌,●,1,3,27,34,-7,7,9,13,30,18
H,岐阜,△,1,1,28,35,-7,7,10,13,31,18
A,清水,●,1,3,29,38,-9,7,10,14,31,18
H,徳島,○,2,1,31,39,-8,8,10,14,34,16
A,熊本,△,0,0,31,39,-8,8,11,14,35,16
A,水戸,●,0,1,31,40,-9,8,11,15,35,18
H,愛媛,△,2,2,33,42,-9,8,12,15,36,18
H,東京Ｖ,○,1,0,34,42,-8,9,12,15,39,16
A,Ｃ大阪,△,2,2,36,44,-8,9,13,15,40,17
H,松本,●,0,1,36,45,-9,9,13,16,40,18
A,横浜FC,●,1,2,37,47,-10,9,13,17,40,18
A,長崎,○,1,0,38,47,-9,10,13,17,43,16
A,山口,△,2,2,40,49,-9,10,14,17,44,16
H,北九州,○,3,0,43,49,-6,11,14,17,47,14
