H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,金沢,○,2,1,2,1,1,1,0,0,3,2
H,清水,●,0,3,2,4,-2,1,0,1,3,13
A,讃岐,△,2,2,4,6,-2,1,1,1,4,12
A,京都,△,0,0,4,6,-2,1,2,1,5,12
H,熊本,●,0,2,4,8,-4,1,2,2,5,14
H,松本,△,1,1,5,9,-4,1,3,2,6,17
A,東京Ｖ,△,0,0,5,9,-4,1,4,2,7,17
A,町田,●,0,1,5,10,-5,1,4,3,7,19
H,横浜FC,●,1,3,6,13,-7,1,4,4,7,19
A,北九州,△,2,2,8,15,-7,1,5,4,8,20
H,岡山,●,0,3,8,18,-10,1,5,5,8,21
H,山形,△,1,1,9,19,-10,1,6,5,9,21
A,山口,○,3,0,12,19,-7,2,6,5,12,20
H,千葉,△,1,1,13,20,-7,2,7,5,13,19
A,岐阜,○,4,2,17,22,-5,3,7,5,16,17
H,Ｃ大阪,●,1,2,18,24,-6,3,7,6,16,18
A,札幌,●,1,2,19,26,-7,3,7,7,16,19
H,群馬,△,2,2,21,28,-7,3,8,7,17,19
A,愛媛,○,1,0,22,28,-6,4,8,7,20,18
A,徳島,△,0,0,22,28,-6,4,9,7,21,17
H,岐阜,○,2,1,24,29,-5,5,9,7,24,13
H,東京Ｖ,○,2,1,26,30,-4,6,9,7,27,13
A,水戸,○,2,0,28,30,-2,7,9,7,30,10
A,松本,●,0,1,28,31,-3,7,9,8,30,11
H,町田,○,1,0,29,31,-2,8,9,8,33,10
A,熊本,○,2,1,31,32,-1,9,9,8,36,9
A,清水,●,0,2,31,34,-3,9,9,9,36,11
H,金沢,△,0,0,31,34,-3,9,10,9,37,11
H,愛媛,△,1,1,32,35,-3,9,11,9,38,11
H,水戸/8節,△,1,1,33,36,-3,9,12,9,39,11
A,Ｃ大阪,●,0,2,33,38,-5,9,12,10,39,13
H,札幌,△,0,0,33,38,-5,9,13,10,40,13
A,岡山,△,0,0,33,38,-5,9,14,10,41,12
H,徳島,●,1,2,34,40,-6,9,14,11,41,14
A,横浜FC,△,2,2,36,42,-6,9,15,11,42,13
A,群馬,●,0,3,36,45,-9,9,15,12,42,14
H,山口,○,2,1,38,46,-8,10,15,12,45,13
A,千葉,△,0,0,38,46,-8,10,16,12,46,13
H,北九州,△,0,0,38,46,-8,10,17,12,47,13
H,山形,●,0,1,38,47,-9,10,17,13,47,14
H,讃岐,●,1,2,39,49,-10,10,17,14,47,14
H,京都,●,0,2,39,51,-12,10,17,15,47,15
