H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,東京Ｖ,●,0,1,0,1,-1,0,0,1,0,17
A,岐阜,○,4,0,4,1,3,1,0,1,3,8
H,愛媛,△,1,1,5,2,3,1,1,1,4,8
A,清水,○,2,0,7,2,5,2,1,1,7,6
H,京都,○,3,1,10,3,7,3,1,1,10,4
A,町田,●,0,2,10,5,5,3,1,2,10,7
H,岡山,○,1,0,11,5,6,4,1,2,13,3
A,山形,△,1,1,12,6,6,4,2,2,14,4
H,Ｃ大阪,○,1,0,13,6,7,5,2,2,17,3
H,徳島,○,1,0,14,6,8,6,2,2,20,2
A,金沢,○,1,0,15,6,9,7,2,2,23,1
A,水戸,○,1,0,16,6,10,8,2,2,26,1
A,讃岐,○,1,0,17,6,11,9,2,2,29,1
H,山口,○,3,1,20,7,13,10,2,2,32,1
H,千葉,△,2,2,22,9,13,10,3,2,33,1
A,松本,●,2,3,24,12,12,10,3,3,33,1
H,長崎,○,2,1,26,13,13,11,3,3,36,1
H,北九州,○,1,0,27,13,14,12,3,3,39,1
A,群馬,○,1,0,28,13,15,13,3,3,42,1
H,横浜FC,○,5,2,33,15,18,14,3,3,45,1
A,Ｃ大阪,△,0,0,33,15,18,14,4,3,46,1
A,岡山,△,0,0,33,15,18,14,5,3,47,1
H,松本,○,1,0,34,15,19,15,5,3,50,1
H,岐阜,○,5,0,39,15,24,16,5,3,53,1
A,山口,○,2,1,41,16,25,17,5,3,56,1
H,清水,○,3,2,44,18,26,18,5,3,59,1
A,横浜FC,●,0,1,44,19,25,18,5,4,59,1
H,山形,○,3,1,47,20,27,19,5,4,62,1
A,京都,△,0,0,47,20,27,19,6,4,63,1
H,熊本/12節,○,1,0,48,20,28,20,6,4,66,1
H,群馬,○,3,1,51,21,30,21,6,4,69,1
A,長崎,△,0,0,51,21,30,21,7,4,70,1
H,町田,○,3,2,54,23,31,22,7,4,73,1
A,北九州,△,0,0,54,23,31,22,8,4,74,1
H,水戸,○,1,0,55,23,32,23,8,4,77,1
A,愛媛,△,2,2,57,25,32,23,9,4,78,1
H,東京Ｖ,●,1,2,58,27,31,23,9,5,78,1
A,熊本,●,0,2,58,29,29,23,9,6,78,1
H,讃岐,○,4,1,62,30,32,24,9,6,81,1
A,徳島,●,1,2,63,32,31,24,9,7,81,1
A,千葉,○,2,1,65,33,32,25,9,7,84,1
H,金沢,△,0,0,65,33,32,25,10,7,85,1
