H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,水戸,○,1,0,1,0,1,1,0,0,3,6
H,群馬,○,3,1,4,1,3,2,0,0,6,1
A,金沢,△,0,0,4,1,3,2,1,0,7,1
A,愛媛,○,1,0,5,1,4,3,1,0,10,1
H,千葉,○,2,0,7,1,6,4,1,0,13,1
A,讃岐,●,0,3,7,4,3,4,1,1,13,4
A,東京Ｖ,○,3,2,10,6,4,5,1,1,16,2
H,岐阜,△,3,3,13,9,4,5,2,1,17,2
H,大分,●,0,1,13,10,3,5,2,2,17,5
A,岡山,○,2,0,15,10,5,6,2,2,20,3
H,山口,○,1,0,16,10,6,7,2,2,23,2
A,町田,△,0,0,16,10,6,7,3,2,24,2
A,熊本,○,1,0,17,10,7,8,3,2,27,1
H,福岡,●,0,3,17,13,4,8,3,3,27,3
A,松本,○,2,1,19,14,5,9,3,3,30,2
H,山形,●,0,1,19,15,4,9,3,4,30,3
H,長崎,△,1,1,20,16,4,9,4,4,31,4
A,徳島,○,1,0,21,16,5,10,4,4,34,2
H,京都,○,1,0,22,16,6,11,4,4,37,2
A,横浜FC,○,1,0,23,16,7,12,4,4,40,2
H,名古屋,○,2,1,25,17,8,13,4,4,43,2
A,大分,△,0,0,25,17,8,13,5,4,44,1
H,東京Ｖ,○,2,0,27,17,10,14,5,4,47,1
A,山形,●,0,3,27,20,7,14,5,5,47,1
H,徳島,○,2,0,29,20,9,15,5,5,50,1
H,松本,○,2,1,31,21,10,16,5,5,53,1
A,長崎,○,2,0,33,21,12,17,5,5,56,1
A,千葉,○,1,0,34,21,13,18,5,5,59,1
H,熊本,△,0,0,34,21,13,18,6,5,60,1
A,群馬,○,2,0,36,21,15,19,6,5,63,1
H,横浜FC,△,2,2,38,23,15,19,7,5,64,1
A,山口,○,5,3,43,26,17,20,7,5,67,1
H,讃岐,○,1,0,44,26,18,21,7,5,70,1
A,京都,△,0,0,44,26,18,21,8,5,71,1
H,金沢,○,4,2,48,28,20,22,8,5,74,1
H,水戸,○,3,0,51,28,23,23,8,5,77,1
H,金沢,●,2,3,53,31,22,23,8,6,77,1
H,愛媛,○,1,0,54,31,23,24,8,6,80,1
H,岡山,△,1,1,55,32,23,24,9,6,81,1
A,福岡,●,1,2,56,34,22,24,9,7,81,1
A,岐阜,△,1,1,57,35,22,24,10,7,82,1
H,町田,△,1,1,58,36,22,24,11,7,83,1
