H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,山形,●,1,2,1,2,-1,0,13
H,徳島,○,1,0,2,2,0,3,11
A,福岡,●,1,2,3,4,-1,3,15
A,岡山,●,1,2,4,6,-2,3,18
H,長崎,●,0,1,4,7,-3,3,19
A,千葉,△,2,2,6,9,-3,4,21
A,横浜FC,●,0,2,6,11,-5,4,21
H,愛媛,○,3,2,9,13,-4,7,20
H,松本,△,1,1,10,14,-4,8,19
A,大分,○,3,1,13,15,-2,11,17
A,名古屋,△,1,1,14,16,-2,12,16
H,讃岐,○,1,0,15,16,-1,15,15
A,山口,△,1,1,16,17,-1,16,15
H,水戸,△,1,1,17,18,-1,17,16
A,東京Ｖ,○,2,1,19,19,0,20,12
H,岐阜,△,1,1,20,20,0,21,16
A,熊本,○,3,0,23,20,3,24,12
H,町田,△,2,2,25,22,3,25,12
A,湘南,●,0,1,25,23,2,25,14
H,金沢,●,1,3,26,26,0,25,15
H,群馬,○,1,0,27,26,1,28,15
A,岐阜,●,2,3,29,29,0,28,16
A,徳島,△,1,1,30,30,0,29,16
H,名古屋,○,3,1,33,31,2,32,15
A,町田,○,2,0,35,31,4,35,13
H,岡山,△,1,1,36,32,4,36,14
H,福岡,●,0,1,36,33,3,36,15
A,水戸,●,0,2,36,35,1,36,16
H,大分,△,2,2,38,37,1,37,16
A,長崎,●,0,1,38,38,0,37,16
H,山口,●,1,2,39,40,-1,37,16
A,山形,△,2,2,41,42,-1,38,17
H,湘南,△,0,0,41,42,-1,39,17
H,千葉,○,2,0,43,42,1,42,17
A,讃岐,○,4,0,47,42,5,45,15
H,千葉,○,2,0,49,42,7,42,17
A,讃岐,△,0,0,49,42,7,49,14
H,横浜FC,△,2,2,51,44,7,50,14
A,群馬,△,1,1,52,45,7,51,14
A,愛媛/33節,○,2,0,54,45,9,54,11
H,東京Ｖ,●,0,1,54,46,8,54,12
A,松本,○,1,0,55,46,9,57,12
