H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
A,岐阜,△,2,2,2,2,0,1,11
H,福岡,●,1,2,3,4,-1,1,16
A,大分,●,0,2,3,6,-3,1,20
H,東京Ｖ,●,0,2,3,8,-5,1,20
H,讃岐,○,1,0,4,8,-4,4,17
A,水戸,△,1,1,5,9,-4,5,18
H,徳島,△,1,1,6,10,-4,6,19
H,千葉,●,0,1,6,11,-5,6,21
A,名古屋,○,2,0,8,11,-3,9,18
H,長崎,●,0,3,8,14,-6,9,19
A,湘南,●,0,1,8,15,-7,9,19
A,愛媛,●,1,2,9,17,-8,9,20
H,京都,△,1,1,10,18,-8,10,20
A,群馬,●,1,2,11,20,-9,10,20
A,山形,●,2,3,13,23,-10,10,20
H,町田,●,0,1,13,24,-11,10,22
A,横浜FC,●,0,1,13,25,-12,10,22
H,岡山,●,0,1,13,26,-13,10,22
A,金沢,●,2,3,15,29,-14,10,22
A,熊本,○,2,0,17,29,-12,13,21
H,松本,●,1,2,18,31,-13,13,21
H,山形,○,2,0,20,31,-11,16,20
A,讃岐,○,3,1,23,32,-9,19,20
A,岡山,●,1,2,24,34,-10,19,20
H,横浜FC,●,1,2,25,36,-11,19,20
H,熊本,●,1,2,26,38,-12,19,20
A,千葉,●,1,2,27,40,-13,19,21
H,群馬,○,3,2,30,42,-12,22,21
A,徳島,●,0,5,30,47,-17,22,21
H,大分,●,2,3,32,50,-18,22,21
A,京都,○,2,1,34,51,-17,25,21
H,湘南,●,3,5,37,56,-19,25,21
H,岐阜,●,0,1,37,57,-20,25,21
A,松本,○,3,2,40,59,-19,28,21
A,福岡,●,1,2,41,61,-20,28,21
H,名古屋,●,1,3,42,64,-22,28,21
A,福岡,●,1,2,43,66,-23,28,21
H,水戸,○,1,0,44,66,-22,31,21
H,金沢,●,0,1,44,67,-23,31,21
A,東京Ｖ,○,2,1,46,68,-22,34,21
A,町田,○,1,0,47,68,-21,37,20
H,愛媛,△,1,1,48,69,-21,38,20
