H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
A,名古屋,●,0,2,0,2,-2,0,21
H,熊本,△,1,1,1,3,-2,1,20
A,町田,△,1,1,2,4,-2,2,19
H,京都,○,2,1,4,5,-1,5,15
A,群馬,○,2,1,6,6,0,8,9
H,東京Ｖ,●,0,1,6,7,-1,8,11
H,金沢,●,0,1,6,8,-2,8,15
A,讃岐,△,1,1,7,9,-2,9,16
H,山形,○,2,1,9,10,-1,12,14
H,湘南,●,0,2,9,12,-3,12,16
A,長崎,●,0,3,9,15,-6,12,17
H,徳島,○,3,2,12,17,-5,15,17
A,福岡,●,0,1,12,18,-6,15,17
A,愛媛,●,0,2,12,20,-8,15,17
H,横浜FC,○,2,1,14,21,-7,18,17
A,大分,△,1,1,15,22,-7,19,17
H,千葉,○,2,1,17,23,-6,22,16
A,山口,○,1,0,18,23,-5,25,13
H,岐阜,△,1,1,19,24,-5,26,13
A,松本,△,1,1,20,25,-5,27,14
H,水戸,○,3,0,23,25,-2,30,14
A,東京Ｖ,△,1,1,24,26,-2,31,14
A,金沢,○,2,1,26,27,-1,34,10
H,山口,○,2,1,28,28,0,37,7
H,長崎,○,2,0,30,28,2,40,7
A,京都,△,1,1,31,29,2,41,8
A,岐阜,△,1,1,32,30,2,42,8
H,愛媛,●,0,1,32,31,1,42,11
H,松本,△,0,0,32,31,1,43,11
A,熊本,○,1,0,33,31,2,46,9
A,山形,△,1,1,34,32,2,47,10
H,町田,△,1,1,35,33,2,48,10
A,徳島,△,3,3,38,36,2,49,10
H,讃岐,●,0,1,38,37,1,49,10
H,大分,●,0,3,38,40,-2,49,10
A,千葉,●,1,3,39,43,-4,49,11
H,大分,●,0,1,39,44,-5,49,13
H,群馬,○,2,1,41,45,-4,52,11
A,湘南,△,1,1,42,46,-4,53,12
H,名古屋,●,0,1,42,47,-5,53,12
A,横浜FC,△,1,1,43,48,-5,54,14
H,福岡,△,1,1,44,49,-5,55,13
