H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
A,長崎,●,0,4,0,4,-4,0,22
A,湘南,●,1,3,1,7,-6,0,22
A,横浜FC,●,0,1,1,8,-7,0,22
H,町田,●,0,1,1,9,-8,0,22
H,岡山,●,1,2,2,11,-9,0,22
A,金沢,●,0,2,2,13,-11,0,22
A,千葉,△,1,1,3,14,-11,1,22
H,水戸,●,0,1,3,15,-12,1,22
A,東京Ｖ,●,1,3,4,18,-14,1,22
H,名古屋,●,1,4,5,22,-17,1,22
H,岐阜,●,0,2,5,24,-19,1,22
A,熊本,○,2,1,7,25,-18,4,22
H,愛媛,●,0,3,7,28,-21,4,22
H,山口,○,2,1,9,29,-20,7,22
A,讃岐,○,2,1,11,30,-19,10,21
A,福岡,○,3,1,14,31,-17,13,20
H,徳島,●,0,2,14,33,-19,13,20
A,山形,●,0,1,14,34,-20,13,21
H,松本,●,0,2,14,36,-22,13,21
H,大分,●,0,4,14,40,-26,13,22
A,京都,●,0,1,14,41,-27,13,22
A,町田,●,0,2,14,43,-29,13,22
H,福岡,●,1,3,15,46,-31,13,22
H,熊本,△,1,1,16,47,-31,14,22
A,岐阜,●,0,2,16,49,-33,14,22
H,山形,●,0,1,16,50,-34,14,22
H,讃岐,●,1,2,17,52,-35,14,22
A,山口,●,2,3,19,55,-36,14,22
H,金沢,△,1,1,20,56,-36,15,22
H,湘南,●,0,2,20,58,-38,15,22
A,大分,●,0,1,20,59,-39,15,22
H,千葉,○,2,0,22,59,-37,18,22
A,松本,●,0,3,22,62,-40,18,22
A,水戸,●,0,4,22,66,-44,18,22
H,横浜FC,△,1,1,23,67,-44,19,22
A,徳島,●,1,4,24,71,-47,19,22
H,横浜FC,●,1,2,25,73,-48,19,22
A,岡山,●,1,2,26,75,-49,19,22
A,名古屋,●,2,4,28,79,-51,19,22
H,京都,△,1,1,29,80,-51,20,22
A,愛媛,●,2,4,31,84,-53,20,22
H,長崎,●,1,4,32,88,-56,20,22
