H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,横浜FC,△,0,0,0,0,0,0,1,0,1,11
A,新潟,△,1,1,1,1,0,0,2,0,2,14
A,東京Ｖ,●,1,2,2,3,-1,0,2,1,2,17
H,岡山,△,1,1,3,4,-1,0,3,1,3,17
A,町田,●,1,2,4,6,-2,0,3,2,3,20
A,山口,△,2,2,6,8,-2,0,4,2,4,20
H,大宮,○,3,2,9,10,-1,1,4,2,7,14
H,讃岐,△,1,1,10,11,-1,1,5,2,8,15
A,甲府,○,1,0,11,11,0,2,5,2,11,12
H,山形,○,1,0,12,11,1,3,5,2,14,9
A,愛媛,△,1,1,13,12,1,3,6,2,15,10
H,水戸,○,2,0,15,12,3,4,6,2,18,8
A,岐阜,●,0,2,15,14,1,4,6,3,18,10
H,金沢,○,5,0,20,14,6,5,6,3,21,7
H,福岡,○,1,0,21,14,7,6,6,3,24,6
A,徳島,△,1,1,22,15,7,6,7,3,25,7
H,栃木,○,1,0,23,15,8,7,7,3,28,6
A,京都,○,1,0,24,15,9,8,7,3,31,5
H,大分,●,1,4,25,19,6,8,7,4,31,5
H,千葉,○,4,2,29,21,8,9,7,4,34,5
A,熊本,○,3,1,32,22,10,10,7,4,37,4
H,新潟,○,2,0,34,22,12,11,7,4,40,1
A,岡山,△,0,0,34,22,12,11,8,4,41,1
H,京都,○,1,0,35,22,13,12,8,4,44,1
A,大宮,○,2,1,37,23,14,13,8,4,47,1
H,甲府,○,1,0,38,23,15,14,8,4,50,1
A,千葉,○,3,2,41,25,16,15,8,4,53,1
A,讃岐,○,1,0,42,25,17,16,8,4,56,1
H,町田,●,0,1,42,26,16,16,8,5,56,1
H,横浜FC,●,1,3,43,29,14,16,8,6,56,2
A,水戸,△,1,1,44,30,14,16,9,6,57,2
A,福岡,○,1,0,45,30,15,17,9,6,60,2
H,山口,△,0,0,45,30,15,17,10,6,61,1
H,熊本,○,2,0,47,30,17,18,10,6,64,1
A,山形,△,3,3,50,33,17,18,11,6,65,1
H,愛媛,△,0,0,50,33,17,18,12,6,66,2
A,金沢,○,2,0,52,33,19,19,12,6,69,1
H,岐阜,△,0,0,52,33,19,19,13,6,70,1
A,大分,●,0,1,52,34,18,19,13,7,70,2
H,東京Ｖ,○,1,0,53,34,19,20,13,7,73,1
A,栃木,○,1,0,54,34,20,21,13,7,76,1
H,徳島,△,0,0,54,34,20,21,14,7,77,1
