H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,栃木,○,4,2,4,2,2,1,0,0,3,3
H,山形,△,2,2,6,4,2,1,1,0,4,5
A,岡山,●,0,1,6,5,1,1,1,1,4,9
H,東京Ｖ,△,0,0,6,5,1,1,2,1,5,11
H,水戸,○,3,1,9,6,3,2,2,1,8,9
A,讃岐,○,2,1,11,7,4,3,2,1,11,5
H,千葉,○,4,0,15,7,8,4,2,1,14,3
A,京都,○,1,0,16,7,9,5,2,1,17,2
H,横浜FC,△,1,1,17,8,9,5,3,1,18,2
A,金沢,○,1,0,18,8,10,6,3,1,21,1
H,町田,○,4,3,22,11,11,7,3,1,24,1
H,大宮,●,1,2,23,13,10,7,3,2,24,1
A,新潟,○,2,1,25,14,11,8,3,2,27,1
H,岐阜,○,2,1,27,15,12,9,3,2,30,1
H,山口,△,2,2,29,17,12,9,4,2,31,1
A,甲府,●,2,6,31,23,8,9,4,3,31,1
H,熊本,○,2,0,33,23,10,10,4,3,34,1
A,愛媛,●,0,1,33,24,9,10,4,4,34,3
A,松本,○,4,1,37,25,12,11,4,4,37,2
H,福岡,○,1,0,38,25,13,12,4,4,40,1
A,徳島,●,0,3,38,28,10,12,4,5,40,1
H,甲府,●,2,4,40,32,8,12,4,6,40,2
A,大宮,●,0,1,40,33,7,12,4,7,40,3
H,栃木,△,0,0,40,33,7,12,5,7,41,4
H,愛媛,●,0,1,40,34,6,12,5,8,41,5
A,岐阜,○,2,0,42,34,8,13,5,8,44,3
H,新潟,○,4,0,46,34,12,14,5,8,47,3
H,岡山,○,4,1,50,35,15,15,5,8,50,2
A,東京Ｖ,△,0,0,50,35,15,15,6,8,51,3
H,徳島,●,0,1,50,36,14,15,6,9,51,4
A,福岡,●,0,1,50,37,13,15,6,10,51,7
A,熊本,○,3,1,53,38,15,16,6,10,54,5
H,讃岐,○,5,0,58,38,20,17,6,10,57,3
A,山口,○,3,1,61,39,22,18,6,10,60,3
A,水戸,○,2,1,63,40,23,19,6,10,63,2
H,京都,○,2,1,65,41,24,20,6,10,66,1
A,町田,●,2,3,67,44,23,20,6,11,66,2
A,千葉,○,4,2,71,46,25,21,6,11,69,2
H,松本,○,1,0,72,46,26,22,6,11,72,1
A,横浜FC,●,1,3,73,49,24,22,6,12,72,2
H,金沢,○,2,1,75,50,25,23,6,12,75,2
A,山形,△,1,1,76,51,25,23,7,12,76,2
