H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
H,松本,△,0,0,0,0,0,0,1,0,1,11
A,岐阜,○,1,0,1,0,1,1,1,0,4,9
H,愛媛,○,3,0,4,0,4,2,1,0,7,4
H,新潟,●,0,3,4,3,1,2,1,1,7,8
A,山形,○,3,2,7,5,2,3,1,1,10,5
A,水戸,△,0,0,7,5,2,3,2,1,11,7
H,金沢,●,0,4,7,9,-2,3,2,2,11,10
H,福岡,△,2,2,9,11,-2,3,3,2,12,10
A,大分,△,1,1,10,12,-2,3,4,2,13,9
H,栃木,△,0,0,10,12,-2,3,5,2,14,10
H,徳島,○,1,0,11,12,-1,4,5,2,17,7
A,讃岐,○,2,1,13,13,0,5,5,2,20,5
A,町田,●,0,1,13,14,-1,5,5,3,20,6
H,熊本,○,4,2,17,16,1,6,5,3,23,6
H,千葉,△,3,3,20,19,1,6,6,3,24,7
A,京都,○,2,0,22,19,3,7,6,3,27,5
H,東京Ｖ,△,2,2,24,21,3,7,7,3,28,7
A,大宮,●,0,4,24,25,-1,7,7,4,28,8
A,岡山,△,0,0,24,25,-1,7,8,4,29,7
H,甲府,○,1,0,25,25,0,8,8,4,32,6
A,山口,○,3,0,28,25,3,9,8,4,35,6
H,山形,△,1,1,29,26,3,9,9,4,36,6
A,新潟,○,1,0,30,26,4,10,9,4,39,6
H,岐阜,○,3,0,33,26,7,11,9,4,42,3
A,金沢,△,0,0,33,26,7,11,10,4,43,3
H,町田,●,2,3,35,29,6,11,10,5,43,6
A,熊本,○,5,3,40,32,8,12,10,5,46,5
H,讃岐,○,2,0,42,32,10,13,10,5,49,4
A,松本,○,3,1,45,33,12,14,10,5,52,3
H,京都,○,3,1,48,34,14,15,10,5,55,3
A,東京Ｖ,●,1,2,49,36,13,15,10,6,55,3
A,福岡/26節,△,0,0,49,36,13,15,11,6,56,3
H,水戸,●,1,2,50,38,12,15,11,7,56,5
A,千葉,○,1,0,51,38,13,16,11,7,59,4
H,山口,●,2,3,53,41,12,16,11,8,59,6
A,栃木,△,0,0,53,41,12,16,12,8,60,7
A,愛媛,○,2,0,55,41,14,17,12,8,63,6
H,大宮,△,1,1,56,42,14,17,13,8,64,7
A,徳島,○,1,0,57,42,15,18,13,8,67,4
H,大分,○,3,1,60,43,17,19,13,8,70,4
H,岡山,○,2,1,62,44,18,20,13,8,73,4
A,甲府,○,1,0,63,44,19,21,13,8,76,3
