H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,千葉,○,2,1,2,1,1,3,6
A,甲府,△,0,0,2,1,1,4,7
H,松本,○,2,1,4,2,2,7,7
A,大分,△,0,0,4,2,2,8,6
H,福岡,△,1,1,5,3,2,9,7
H,山形,△,0,0,5,3,2,10,8
A,徳島,○,4,0,9,3,6,13,5
H,岐阜,△,0,0,9,3,6,14,5
A,熊本,△,0,0,9,3,6,15,5
H,水戸,○,3,0,12,3,9,18,4
A,大宮,●,0,2,12,5,7,18,5
H,町田,●,1,4,13,9,4,18,7
H,金沢,●,0,1,13,10,3,18,9
A,山口,●,3,4,16,14,2,18,12
H,愛媛,△,0,0,16,14,2,19,17
A,横浜FC,△,2,2,18,16,2,20,15
A,新潟,○,2,1,20,17,3,23,12
H,京都,○,3,1,23,18,5,26,11
H,栃木,○,3,0,26,18,8,29,10
A,岡山/15節,○,1,0,27,18,9,32,6
A,讃岐,●,1,3,28,21,7,32,9
H,岡山,●,0,1,28,22,6,32,10
H,山口,○,3,1,31,23,8,35,8
A,福岡,△,0,0,31,23,8,36,8
H,新潟,○,4,3,35,26,9,39,7
A,京都,○,1,0,36,26,10,42,5
H,大宮,○,2,1,38,27,11,45,4
A,山形,●,1,2,39,29,10,45,6
H,大分,△,0,0,39,29,10,46,6
A,千葉,○,3,2,42,31,11,49,6
A,金沢,○,1,0,43,31,12,52,5
H,横浜FC,○,2,1,45,32,13,55,4
H,熊本,△,2,2,47,34,13,56,4
A,岐阜,△,1,1,48,35,13,57,7
A,栃木,○,1,0,49,35,14,60,5
H,甲府,●,0,1,49,36,13,60,6
A,水戸,○,1,0,50,36,14,63,7
H,徳島,○,2,1,52,37,15,66,4
A,愛媛,△,2,2,54,39,15,67,5
A,松本,●,0,1,54,40,14,67,5
H,讃岐,○,1,0,55,40,15,70,5
A,町田,△,1,1,56,41,15,71,6
