H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,岐阜,○,2,0,2,0,2,3,4
H,京都,△,2,2,4,2,2,4,6
A,金沢,○,1,0,5,2,3,7,5
H,甲府,●,0,2,5,4,1,7,7
A,東京Ｖ,△,1,1,6,5,1,8,11
A,大宮,●,1,2,7,7,0,8,11
H,栃木,○,2,1,9,8,1,11,9
A,横浜FC,△,2,2,11,10,1,12,9
H,山口,○,2,0,13,10,3,15,7
H,千葉,○,3,1,16,11,5,18,5
A,讃岐,△,1,1,17,12,5,19,4
H,山形,○,2,1,19,13,6,22,3
A,岡山,△,2,2,21,15,6,23,4
H,愛媛,○,2,0,23,15,8,26,3
A,松本,●,0,1,23,16,7,26,4
A,水戸,○,2,0,25,16,9,29,3
H,徳島,○,1,0,26,16,10,32,2
A,熊本,○,1,0,27,16,11,35,1
H,新潟,●,0,2,27,18,9,35,4
A,大分,●,0,1,27,19,8,35,4
H,町田,△,2,2,29,21,8,36,5
H,讃岐,○,3,1,32,22,10,39,5
H,東京Ｖ,△,0,0,32,22,10,40,6
A,徳島,●,1,3,33,25,8,40,6
A,甲府,○,2,1,35,26,9,43,5
H,水戸,○,2,0,37,26,11,46,4
A,栃木,●,0,1,37,27,10,46,7
A,新潟,○,3,0,40,27,13,49,5
H,大分,○,1,0,41,27,14,52,4
H,松本,●,0,1,41,28,13,52,6
H,横浜FC/26節,△,0,0,41,28,13,53,6
A,千葉,△,3,3,44,31,13,54,7
A,愛媛,○,3,2,47,33,14,57,6
A,京都/22節,●,0,1,47,34,13,57,7
H,大宮,○,3,1,50,35,15,60,4
H,岡山,△,1,1,51,36,15,61,4
A,山口,○,1,0,52,36,16,64,4
A,山形,△,2,2,54,38,16,65,5
H,金沢,△,2,2,56,40,16,66,6
A,町田,●,1,2,57,42,15,66,6
H,熊本,○,1,0,58,42,16,69,6
A,岐阜,△,0,0,58,42,16,70,7
