H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,新潟,●,0,1,0,1,-1,0,16
A,金沢,○,1,0,1,1,0,3,12
H,水戸,●,1,2,2,3,-1,3,12
A,栃木,●,0,1,2,4,-2,3,18
A,千葉,●,1,6,3,10,-7,3,22
H,大分,●,1,2,4,12,-8,3,22
A,京都,△,1,1,5,13,-8,4,22
A,松本,△,1,1,6,14,-8,5,22
H,愛媛,△,1,1,7,15,-8,6,22
A,徳島,○,1,0,8,15,-7,9,20
H,福岡,△,1,1,9,16,-7,10,20
H,横浜FC,●,1,2,10,18,-8,10,20
A,山形,●,0,2,10,20,-10,10,20
A,町田,●,0,3,10,23,-13,10,21
H,甲府,●,0,3,10,26,-16,10,22
A,山口,●,0,1,10,27,-17,10,22
A,大宮,△,2,2,12,29,-17,11,22
H,岐阜,●,0,1,12,30,-18,11,22
A,熊本,△,1,1,13,31,-18,12,22
H,岡山,○,1,0,14,31,-17,15,21
H,東京Ｖ,○,3,1,17,32,-15,18,20
A,水戸,●,0,5,17,37,-20,18,21
A,福岡,●,1,3,18,40,-22,18,21
H,千葉,○,2,1,20,41,-21,21,21
A,岐阜,○,3,2,23,43,-20,24,20
A,岡山,●,0,3,23,46,-23,24,20
H,松本,●,0,1,23,47,-24,24,20
A,横浜FC,●,0,2,23,49,-26,24,22
H,金沢,●,0,2,23,51,-28,24,22
H,徳島,●,0,4,23,55,-32,24,22
A,愛媛,△,0,0,23,55,-32,25,22
A,大分,●,0,5,23,60,-37,25,22
H,山形/26節,△,1,1,24,61,-37,26,22
H,大宮,●,0,2,24,63,-39,26,22
A,新潟,●,1,2,25,65,-40,26,22
H,熊本,○,1,0,26,65,-39,29,21
H,山口,△,0,0,26,65,-39,30,21
A,甲府,●,0,1,26,66,-40,30,21
H,町田/35節,△,1,1,27,67,-40,31,21
H,栃木,●,1,2,28,69,-41,31,22
A,東京Ｖ,●,0,1,28,70,-42,31,22
H,京都,●,0,2,28,72,-44,31,22
